"Recipient","PDF Path","IPFS CID","GitHub Issue","Date Sent"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_315001_330000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/30","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_15001_17000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/31","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Licensing_Notice_Authorship_Audit_WalletBundle_202507_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/32","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_000001_030000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/33","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Licensing_Notice_WalletBundleEnforcement_202507_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/34","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_420001_495000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/35","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Top1000_3_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/36","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_935001_955000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/37","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Generated_Notice_With_Fees.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/38","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_915001_935000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/39","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_300001_315000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/40","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_975001_995000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/41","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_895001_915000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/42","2025-07-10"
